tiempo,carga,extension_de_traccion,esfuerzo_de_traccion,deformacion,deformacion_media,desplazamiento_deformacion_uno,desplazamiento_deformacion_dos
0,0.21137,0,0.00528,0,0,0.00277,0
0.1,0.6267,0.00516,0.01567,0,0,0.00278,0
0.2,3.79499,0.01594,0.09487,0,0,0.00529,0
0.3,5.80818,0.02516,0.1452,0,0,0.00679,0
0.4,7.7579,0.03281,0.19395,0,0,0.00855,0
0.5,9.95289,0.04187,0.24882,0,0,0.01033,0
0.6,11.81719,0.04984,0.29543,0,0,0.01178,0
0.7,14.01062,0.05812,0.35027,0,0,0.01344,0
0.8,15.94623,0.06656,0.39866,0,0,0.01492,0
0.9,18.1906,75,0.45476,0,0,0.01655,0
1,20.2226,0.08391,0.50556,0,0,0.01828,0
1.1,22.14802,0.09125,0.5537,0,0,0.01981,0
1.2,24.12046,0.10031,0.60301,0,0,0.02153,0
1.3,26.11798,0.10828,0.65295,0,0,0.02302,0
1.4,28.41328,0.11687,0.71033,0,0,0.02512,0
1.5,30.13104,125,0.75328,0,0,0.02633,0
1.6,32.30879,0.13328,0.80772,0,0,0.0279,0
1.7,34.1198,0.14172,853,0,0,0.02976,0
1.8,36.17766,0.14969,0.90444,0,0,0.0314,0
1.9,38.24257,0.15828,0.95606,0,0,0.03291,0
2,40.17035,0.16641,1.00426,0,0,0.03435,0
2.1,42.25563,0.17547,1.05639,0,0,0.03644,0
2.2,44.10504,0.18312,1.10263,0,0,0.03794,0
2.3,46.36508,0.19187,1.15913,0,0,0.03977,0
2.4,48372,0.19984,1.2093,0,0,0.04127,0
2.5,50.37109,0.20797,1.25928,0,0,0.04292,0
2.6,52.40935,0.21672,1.31023,0,0,0.04484,0
2.7,54.32929,0.22469,1.35823,0,0,0.0466,0
2.8,56.25158,0.23406,1.40629,0,0,0.04814,0
2.9,58.40347,0.24156,1.46009,0,0,0.04984,0
3,60.38375,0.25047,1.50959,0,0,0.05164,0
3.1,62.32563,0.25828,1.55814,0,0,0.05316,0
3.2,64.44148,0.26656,1.61104,0,0,0.0549,0
3.3,66.0221,0.27484,1.65055,0,0,0.0566,0
3.4,68.23277,0.28328,1.70582,0,0,0.05826,0
3.5,70.11744,0.29187,1.75294,0,0,0.06009,0
3.6,72.20273,0.29937,1.80507,0,0,0.06154,0
3.7,74.37578,0.30891,1.85939,0,0,0.06358,0
3.8,76.08256,0.31625,1.90206,0,0,0.06507,0
3.9,78.13259,0.32531,1.95331,0,0,0.06689,0
4,80.10973,0.33328,2.00274,0,0,0.0685,0
4.1,82.33294,0.34172,2.05832,0,0,0.07017,0
4.2,84.21213,0.35,2.1053,0,0,0.07162,0
4.3,86.04508,0.35766,2.15113,0,0,0.07345,0
4.4,88.07002,0.36687,2.20175,0,0,0.07518,0
4.5,90.10437,0.37484,2.25261,0,0,0.07691,0
4.6,92.01177,0.38391,2.30029,0,0,0.07859,0
4.7,93.83297,0.39172,2.34582,0,0,0.08018,0
4.8,96.16354,0.40047,2.40409,0,0,0.08174,0
4.9,97.86091,0.40828,2.44652,0,0,0.08343,0
5,99.89134,0.41641,2.49728,0,0,0.08533,0
5.1,101.87868,425,2.54697,0,0,0.08662,0
5.2,103.93653,0.43312,2.59841,0,0,0.08823,0
5.3,105.88233,0.44219,2.64706,0,0,0.08985,0
5.4,107.63064,0.44953,2.69077,0,0,0.09126,0
5.5,109.92909,0.45891,2.74823,0,0,0.09319,0
5.6,111.47052,0.46656,2.78676,0,0,0.0947,0
5.7,113.73056,0.47484,2.84326,0,0,0.09668,0
5.8,115.1756,0.48328,2.87939,0,0,0.09818,0
5.9,117.36825,0.49141,2.93421,0,0,0.09981,0
6,119.33051,0.50047,2.98326,0,0,0.10141,0
6.1,121.21518,0.50766,3.03038,0,0,0.10295,0
6.2,123.2605,0.51703,3.08151,0,0,0.10504,0
6.3,125.08405,0.52484,3.1271,0,0,0.10652,0
6.4,127.20068,0.53359,3.18002,0,0,0.10843,0
6.5,128.81735,0.54172,3.22043,0,0,0.10991,0
6.6,130.74591,0.55031,3.26865,0,0,0.11197,0
6.7,132.35238,0.55859,3.30881,0,0,0.11464,0
6.8,133.94005,0.56625,3.3485,0,0,0.11727,0
6.9,135.76124,0.57531,3.39403,0,0,0.11936,0
7,137.47666,0.58297,3.43692,0,0,0.12133,0
7.1,139.45536,0.59219,3.48638,0,0,0.1234,0
7.2,140.98347,0.59984,3.52459,0,0,0.12524,0
7.3,143.05935,0.60859,3.57648,0,0,0.1271,0
7.4,144.76457,0.61672,3.61911,0,0,0.12871,0
7.5,146.84045,0.62453,3.67101,0,0,0.13091,0
7.6,148.52765,0.63328,3.71319,0,0,0.13249,0
7.7,150.56435,0.64141,3.76411,0,0,0.13398,0
7.8,152.3111,0.65047,3.80778,0,0,0.13577,0
7.9,153.86507,0.65797,3.84663,0,0,0.13709,0
8,156.04675,0.66687,3.90117,0,0,0.13906,0
8.1,157.73708,0.67484,3.94343,0,0,0.14072,0
8.2,160041,0.68328,4.00102,0,0,0.1424,0
8.3,161.80264,0.69156,4.04507,0,0,0.14354,0
8.4,163.81661,0.7,4.09542,0,0,0.14536,0
8.5,165.63076,0.70891,4.14077,0,0,0.14695,0
8.6,167.44804,0.71625,4.1862,0,0,0.14841,0
8.7,169.47299,0.72531,4.23682,0,0,0.15003,0
8.8,171.22836,0.73328,4.28071,0,0,0.15169,0
8.9,173.17181,0.74187,4.3293,0,0,0.15334,0
9,174.79552,0.75,4.36989,0,0,0.15485,0
9.1,177.06418,0.75828,4.4266,0,0,0.1565,0
9.2,178.6111,0.76672,4.46528,0,0,0.15813,0
9.3,180.69482,0.77469,4.51737,0,0,0.15974,0
9.4,182.59909,0.78328,4.56498,0,0,0.16143,0
9.5,184.36386,0.79141,4.6091,0,0,0.1629,0
9.6,186.51497,0.80047,4.66287,0,0,0.16466,0
9.7,187.98979,0.80812,4.69974,0,0,0.16601,0
9.8,190.09624,0.81672,4.75241,0,0,0.16773,0
9.9,191.77168,0.82484,4.79429,0,0,0.16939,0
10,193.88283,0.83297,4.84707,0,0,0.17114,0
10.1,195.63898,0.84172,4.89097,0,0,0.17272,0
10.2,197.53932,0.84969,4.93848,0,0,0.17435,0
10.3,199.56897,0.85906,4.98922,0,0,0.17613,0
10.4,201.18328,0.86656,5.02958,0,0,0.17756,0
10.5,203.29286,0.87547,5.08232,0,0,0.17915,0
10.6,205.13835,0.88328,5.12846,0,0,0.18072,0
10.7,207.04733,0.89156,5.17618,0,0,0.18251,0
10.8,208.84736,0.89984,5.22118,0,0,0.18399,0
10.9,210.76573,0.90828,5.26914,0,0,0.18554,0
11,212.40669,0.91672,5.31017,0,0,0.18697,0
11.1,214.32426,0.92453,5.35811,0,0,0.18867,0
11.2,216.50672,0.93391,5.41267,0,0,0.19038,0
11.3,218.15004,0.94125,5.45375,0,0,0.19181,0
11.4,220.40929,0.95031,5.51023,0,0,0.19348,0
11.5,221.88569,0.95812,5.54714,0,0,0.19496,0
11.6,223.76878,0.96687,5.59422,0,0,0.19671,0
11.7,225.69969,975,5.64249,0,0,0.19819,0
11.8,227.67996,0.98266,5692,0,0,0.1997,0
11.9,229.59444,0.99203,5.73986,0,0,0.2014,0
12,231.23147,0.99984,5.78079,0,0,0.20301,0
12.1,233.14436,1.00891,5.82861,0,0,0.20468,0
12.2,235.15676,1.01656,5.87892,0,0,0.20611,0
12.3,237.32432,1.02547,5.93311,0,0,0.20786,0
12.4,238.77956,1.03328,5.96949,0,0,0.20934,0
12.5,240.79666,1.04141,6.01992,0,0,0.21083,0
12.6,242.68292,1.04984,6.06707,0,0,0.21254,0
12.7,244.5519,1.05797,6.1138,0,0,0.21415,0
12.8,246.46088,1.06719,6.16152,0,0,0.21572,0
12.9,247.81972,1.07453,6.19549,0,0,0.21734,0
13,250.0633,1.08391,6.25158,0,0,0.21877,0
13.1,251.75989,1.09156,6294,0,0,0.22033,0
13.2,253.70335,1.09984,6.34258,0,0,0.22241,0
13.3,255.55354,1.10828,6.38884,0,0,0.22363,0
13.4,257.5197,1.11641,6.43799,0,0,0.22533,0
13.5,259.37774,1.12562,6.48444,0,0,0.22716,0
13.6,260.92073,1.13266,6.52302,0,0,0.22863,0
13.7,262.85478,1.14203,6.57137,0,0,0.23028,0
13.8,264.66423,1.14984,6.61661,0,0,0.23214,0
13.9,266.77223,1.15844,6.66931,0,0,0.23348,0
14,268.44142,1.16672,6.71104,0,0,0.23501,0
14.1,270.53219,1.17531,6.7633,0,0,0.23671,0
14.2,272.22643,1.18359,6.80566,0,0,0.23825,0
14.3,274.05233,1.19109,6.85131,0,0,0.23991,0
14.4,275.97775,1.20031,6.89944,0,0,0.24131,0
14.5,277.80912,1.20797,6.94523,0,0,0.24284,0
14.6,279.81605,1.21719,6.9954,0,0,0.24443,0
14.7,281.2329,1.22469,7.03082,0,0,0.24584,0
14.8,283.31503,1.23359,7.08288,0,0,0.24754,0
14.9,284.92701,1.24187,7.12318,0,0,0.24925,0
15,286.97154,1.24953,7.17429,0,0,0.25087,0
15.1,288.62034,1.25844,7.21551,0,0,0.25239,0
15.2,290.49404,1.26641,7.26235,0,0,0.25412,0
15.3,292.38653,1.27531,7.30966,0,0,0.25568,0
15.4,293.90291,1.28297,7.34757,0,0,0.25718,0
15.5,296.2515,1.29187,7.40629,0,0,0.25862,0
15.6,297.55861,1.29984,7.43897,0,0,0.26048,0
15.7,299.76694,1.30828,7.49417,0,0,0.26208,0
15.8,301.12343,1.31656,7.52809,0,0,0.26342,0
15.9,303.33488,1325,7.58337,0,0,0.26509,0
16,305.22975,1.33391,7.63074,0,0,0.26669,0
16.1,306.86522,1.34125,7.67163,0,0,0.26808,0
16.2,308.73658,1.35031,7.71841,0,0,0.27008,0
16.3,310.50919,1.35828,7.76273,0,0,0.27145,0
16.4,312.42128,1.36687,7.81053,0,0,0.27314,0
16.5,313.76367,1375,7.84409,0,0,0.27463,0
16.6,315.70005,1.38312,7.8925,0,0,0.27606,0
16.7,317.79318,1.39172,7.94483,0,0,0.27769,0
16.8,319.48821,1.39969,7.98721,0,0,0.27937,0
16.9,321.36112,1.40828,8.03403,0,0,0.28069,0
17,323.08907,1.41656,8.07723,0,0,0.28222,0
17.1,324.89381,1.42547,8.12234,0,0,0.28405,0
17.2,326.35611,1.43312,8.1589,0,0,0.28532,0
17.3,328.47822,1.44187,8.21196,0,0,0.28701,0
17.4,330.18657,1.44984,8.25466,0,0,0.28868,0
17.5,332.10886,1.45797,8.30272,0,0,0.29009,0
17.6,333.69183,1.46672,8.3423,0,0,0.29178,0
17.7,335.6823,1.47469,8.39206,0,0,0.29341,0
17.8,337.22608,1.48406,8.43065,0,0,0.29483,0
17.9,339.27218,1.49156,8.4818,0,0,0.29644,0
18,340.97896,1.50031,8.52447,0,0,0.29826,0
18.1,342.72335,1.50828,8.56808,0,0,0.29945,0
18.2,344.65741,1.51656,8.61644,0,0,0.30131,0
18.3,346.13772,1525,8.65344,0,0,0.30288,0
18.4,348.22535,1.53328,8.70563,0,0,0.30464,0
18.5,349.95016,1.54172,8.74875,0,0,0.30588,0
18.6,351.49395,1.54953,8.78735,0,0,0.30741,0
18.7,353.60588,1.55891,8.84015,0,0,0.30909,0
18.8,355.12615,1.56625,8.87815,0,0,0.31051,0
18.9,357.02102,1.57531,8.92553,0,0,0.31235,0
19,358.68157,1.58312,8.96704,0,0,0.31376,0
19.1,360.49257,1.59172,9.01231,0,0,0.31543,0
19.2,362.17899,1.6,9.05447,0,0,0.31694,0
19.3,364.00645,1.60766,9.10016,0,0,0.31845,0
19.4,365.77906,1.61703,9.14448,0,0,0.31991,0
19.5,367.45216,1.62484,9.1863,0,0,0.3213,0
19.6,369.17147,1.63391,9.22929,0,0,0.32293,0
19.7,370.88844,1.64172,9.27221,0,0,0.32436,0
19.8,372.68691,1.65047,9.31717,0,0,0.32491,0
19.9,373.37025,1.65828,9.33426,0,0,0.32411,0
20,375.00807,1.66641,9.3752,0,0,0.32488,0
20.1,376.8042,1675,9.4201,0,0,0.32613,0
20.2,378.54626,1.68312,9.46366,0,0,0.32785,0
20.3,380.46541,1.69219,9.51163,0,0,0.32952,0
