tiempo,carga,extension_de_traccion,esfuerzo_de_traccion,deformacion,deformacion_media,desplazamiento_deformacion_uno,desplazamiento_deformacion_dos
0,1.40782,0,0.0352,0,0,0.00188,0
0.1,1.86861,5,0.04672,0,0,0.00382,0
0.2,4.71089,0.01547,0.11777,0,0,0.00393,0
0.3,6.91765,0.02531,0.17294,0,0,0.00833,0
0.4,9.11029,0.03312,0.22776,0,0,0.0074,0
0.5,11.14386,0.04219,0.2786,0,0,0.01184,0
0.6,13.00659,0.05016,0.32516,0,0,0.01043,0
0.7,15.48448,0.05875,0.38711,0,0,0.01537,0
0.8,17.35505,0.06687,0.43388,0,0,0.01352,0
0.9,19.31574,0.07469,0.48289,0,0,0.01884,0
1,21.4982,0.08344,0.53745,0,0,0.01707,0
1.1,23.23319,0.09156,0.58083,0,0,0.02216,0
1.2,25447,0.10062,0.63617,0,0,0.02044,0
1.3,27.21412,0.10812,0.68035,0,0,0.02504,0
1.4,29.59798,0.11734,0.73995,0,0,0.0238,0
1.5,31.51478,125,0.78787,0,0,0.02829,0
1.6,33.74034,0.13297,0.84351,0,0,0.02732,0
1.7,35.39383,0.14172,0.88485,0,0,0.03166,0
1.8,37.51517,0.14984,0.93788,0,0,0.03082,0
1.9,39.53071,0.15906,0.98827,0,0,0.03491,0
2,41.3715,0.16625,1.03429,0,0,0.03379,0
2.1,43.51869,0.17547,1.08797,0,0,0.03771,0
2.2,45.51935,0.18328,1.13798,0,0,0.03759,0
2.3,47.73315,0.19172,1.19333,0,0,0.04097,0
2.4,49.42896,0.20016,1.23572,0,0,0.04114,0
2.5,51.45234,0.20859,1.28631,0,0,0.04414,0
2.6,53.38638,0.21719,1.33466,0,0,0.04471,0
2.7,55.16683,0.22453,1.37917,0,0,0.04694,0
2.8,57.45352,0.23391,1.43634,0,0,0.04811,0
2.9,59.36483,0.24156,1.48412,0,0,0.04978,0
3,61.48382,0.25047,1.5371,0,0,0.05182,0
3.1,63.06052,0.25828,1.57651,0,0,0.05303,0
3.2,65.53057,0.26703,1.63826,0,0,0.05533,0
3.3,67.19425,0.27547,1.67986,0,0,0.05595,0
3.4,69.24976,0.28281,1.73124,0,0,0.05851,0
3.5,71.24728,0.29187,1.78118,0,0,0.05911,0
3.6,73.31141,0.29984,1.83279,0,0,0.06214,0
3.7,75.22194,0.30891,1.88055,0,0,0.06211,0
3.8,77.03687,0.31656,1.92592,0,0,0.06543,0
3.9,79.50144,0.32531,1.98754,0,0,0.06549,0
4,81.24898,0.33344,2.03122,0,0,0.06888,0
4.1,83.30213,0.34141,2.08255,0,0,0.06866,0
4.2,85.09433,0.35,2.12736,0,0,0.07211,0
4.3,87.27366,0.35844,2.18184,0,0,0.0718,0
4.4,89.05881,0.36766,2.22647,0,0,0.07564,0
4.5,91.01636,0.37484,2.27541,0,0,0.07497,0
4.6,92.9794,0.38391,2.32449,0,0,0.07859,0
4.7,95.10465,0.39172,2.37762,0,0,0.07811,0
4.8,96.92271,0.4,2.42307,0,0,0.08192,0
4.9,98.69296,0.40844,2.46732,0,0,0.08153,0
5,101.00238,0.41656,2.52506,0,0,0.08509,0
5.1,102.56184,0.42547,2.56405,0,0,0.08474,0
5.2,104.70041,0.43312,2.61751,0,0,0.08826,0
5.3,106.7951,0.44187,2.66988,0,0,0.08817,0
5.4,108.47681,0.44984,2.71192,0,0,0.09116,0
5.5,110682,0.45875,2.76705,0,0,0.09178,0
5.6,112.45696,0.46672,2.81142,0,0,0.09435,0
5.7,114.37924,0.47516,2.85948,0,0,0.09516,0
5.8,116.23413,0.48344,2.90585,0,0,0.09767,0
5.9,118.04122,0.49125,2.95103,0,0,0.09871,0
6,119.70177,0.50031,2.99254,0,0,0.10216,0
6.1,121.03947,0.50812,3.02599,0,0,0.10639,0
6.2,123.02914,0.5175,3.07573,0,0,0.10892,0
6.3,125.17399,0.52516,3.12935,0,0,0.10989,0
6.4,126.73344,0.53375,3.16834,0,0,0.11181,0
6.5,128.78269,0.54172,3.21957,0,0,0.11365,0
6.6,130.72143,0.54984,3.26804,0,0,0.11508,0
6.7,132.56614,0.55828,3.31415,0,0,118,0
6.8,134.42182,0.56656,3.36055,0,0,0.11847,0
6.9,136.20383,0.57562,3.4051,0,0,0.12217,0
7,137.75154,0.58312,3.44379,0,0,0.1217,0
7.1,139.99041,0.59234,3.49976,0,0,0.12631,0
7.2,141.56555,0.59984,3.53914,0,0,0.12536,0
7.3,143.68688,0.60844,3.59217,0,0,0.13007,0
7.4,145.46028,0.61672,3.63651,0,0,0.12871,0
7.5,147.46092,625,3.68652,0,0,0.13349,0
7.6,149.10973,0.63359,3.72774,0,0,0.13179,0
7.7,151.18247,0.64125,3.77956,0,0,0.13698,0
7.8,152.8775,0.65047,3.82194,0,0,0.1352,0
7.9,154.83348,0.65828,3.87084,0,0,0.1406,0
8,156.65547,0.66719,3.91639,0,0,0.13848,0
8.1,158.74153,0.67516,3.96854,0,0,0.14394,0
8.2,160.78764,0.68375,4.01969,0,0,0.14189,0
8.3,162.51558,0.69203,4.06289,0,0,0.14717,0
8.4,164.49586,0.69969,4.1124,0,0,0.14514,0
8.5,166.36957,0.70844,4.15924,0,0,0.15019,0
8.6,168.32869,0.71656,4.20822,0,0,0.14855,0
8.7,170.21727,0.72562,4.25543,0,0,0.15348,0
8.8,171.77673,0.73312,4.29442,0,0,0.15224,0
8.9,174.09946,0.74234,4.35249,0,0,0.15651,0
9,175.92066,0.75,4.39802,0,0,0.15579,0
9.1,177.83982,0.75797,4446,0,0,0.15919,0
9.2,179.58186,0.76672,4.48955,0,0,0.15959,0
9.3,181.68439,0.77469,4.54211,0,0,0.16224,0
9.4,183.42409,0.78406,4.5856,0,0,0.1629,0
9.5,185.2351,0.79125,4.63088,0,0,0.16517,0
9.6,187.38072,0.80062,4.68452,0,0,0.1664,0
9.7,189.11493,0.80844,4.72787,0,0,0.16814,0
9.8,191.07092,0.81672,4.77677,0,0,0.17001,0
9.9,192.9932,0.82516,4.82483,0,0,0.17113,0
10,195.05029,0.83359,4.87626,0,0,0.17345,0
10.1,196.74767,0.84234,4.91869,0,0,0.17387,0
10.2,198.75772,0.84953,4.96894,0,0,0.17661,0
10.3,200.48409,0.85891,5.0121,0,0,0.17716,0
10.4,202.25355,0.86656,5.05634,0,0,0.18009,0
10.5,204.50656,0.87547,5.11266,0,0,0.18002,0
10.6,205.89987,0.88328,5.1475,0,0,0.18325,0
10.7,208.39814,0.89187,5.20995,0,0,0.18298,0
10.8,209.96309,0.90047,5.24908,0,0,0.18681,0
10.9,211.94965,0.90781,5.29874,0,0,0.18588,0
11,213.78729,0.91687,5.34468,0,0,0.18989,0
11.1,215.54972,925,5.38874,0,0,0.18906,0
11.2,217.62168,0.93391,5.44054,0,0,0.1932,0
11.3,219.48128,0.94156,5.48703,0,0,0.19203,0
11.4,221.59007,0.95031,5.53975,0,0,0.19633,0
11.5,223.30312,0.95844,5.58258,0,0,0.19547,0
11.6,225.27713,0.96641,5.63193,0,0,0.19944,0
11.7,227.01996,975,5.6755,0,0,0.19859,0
11.8,229.12405,0.98344,5.7281,0,0,0.20256,0
11.9,231.05731,0.99266,5.77643,0,0,0.20177,0
12,232.66224,0.99984,5.81656,0,0,0.20559,0
12.1,234.95674,1.00875,5.87392,0,0,0.20539,0
12.2,236.51542,1.01672,5.91289,0,0,0.20872,0
12.3,238.4048,1.02516,5.96012,0,0,0.20868,0
12.4,240.35529,1.03344,6.00888,0,0,0.21145,0
12.5,242.09577,1.04156,6.05239,0,0,0.21188,0
12.6,244.14579,1.05047,6.10364,0,0,0.21438,0
12.7,245.95368,1.05812,6.14884,0,0,0.21486,0
12.8,247.78899,1.06672,6.19472,0,0,0.21724,0
12.9,249.77473,1075,6.24437,0,0,0.21857,0
13,251.78166,1.08375,6.29454,0,0,0.22051,0
13.1,253.36463,1.09172,6.33412,0,0,0.22179,0
13.2,255.58313,1.10016,6.38958,0,0,0.22335,0
13.3,257.23428,1.10844,6.43086,0,0,0.22511,0
13.4,259.20281,1.11625,6.48007,0,0,0.22629,0
13.5,260.94799,1.12531,6.5237,0,0,0.22851,0
13.6,262.57797,1.13312,6.56445,0,0,0.22921,0
13.7,264.64993,1.14266,6.61625,0,0,0.23172,0
13.8,266.58869,1.15016,6.66472,0,0,0.23203,0
13.9,268.35189,1.15875,6.7088,0,0,0.23486,0
14,270.31337,1.16672,6.75783,0,0,0.23519,0
14.1,272.20978,1.17469,6.80524,0,0,0.23817,0
14.2,274.08977,1.18344,6.85224,0,0,0.23788,0
14.3,275.99873,1.19156,6.89997,0,0,0.24132,0
14.4,277.54721,1.20047,6.93868,0,0,0.2411,0
14.5,279.36136,1.20812,6.98403,0,0,0.24427,0
14.6,281.63081,1.21719,7.04077,0,0,0.24439,0
14.7,283.25843,1.22469,7.08146,0,0,0.24753,0
14.8,285.3547,1.23344,7.13387,0,0,0.24756,0
14.9,286.89378,1.24172,7.17234,0,0,0.25047,0
15,288.85447,1.25016,7.22136,0,0,0.25082,0
15.1,290.6882,1.25875,7.2672,0,0,0.25347,0
