tiempo,carga,extension_de_traccion,esfuerzo_de_traccion,deformacion,deformacion_media,desplazamiento_deformacion_uno,desplazamiento_deformacion_dos
0,0.61084,0,0.01527,0,0,0.00673,0
0.1,1.31378,0.00547,0.03284,0,0,0.0072,0
0.2,4.00561,0.01547,0.10014,0,0,0.00932,0
0.3,6.36752,0.02453,0.15919,0,0,0.01144,0
0.4,8.34858,0.03359,0.20871,0,0,0.01322,0
0.5,10.40879,0.04125,0.26022,0,0,0.01495,0
0.6,12.49408,0.05016,0.31235,0,0,0.01678,0
0.7,14.55507,0.05812,0.36388,0,0,0.0187,0
0.8,16.87702,0.06672,0.42193,0,0,0.02063,0
0.9,18.68097,75,0.46702,0,0,0.02244,0
1,20.79055,0.08344,0.51976,0,0,0.0245,0
1.1,22.60313,0.09203,0.56508,0,0,0.02615,0
1.2,24.68058,0.09937,0.61701,0,0,0.0276,0
1.3,26.6875,0.10859,0.66719,0,0,0.02966,0
1.4,28.78141,0.11672,0.71954,0,0,0.03137,0
1.5,30.87767,0.12547,0.77194,0,0,0.03304,0
1.6,32.60326,0.13328,0.81508,0,0,0.03473,0
1.7,34.8586,0.14172,0.87146,0,0,0.03653,0
1.8,36.47605,0.15,0.9119,0,0,0.03826,0
1.9,38.70317,0.15797,0.96758,0,0,0.0405,0
2,40.71323,0.16641,1.01783,0,0,0.04177,0
2.1,42.51719,0.17484,1.06293,0,0,0.0438,0
2.2,44.78663,0.18391,1.11967,0,0,0.04576,0
2.3,46.44013,0.19141,1161,0,0,0.04741,0
2.4,48.53952,0.20031,1.21349,0,0,0.04932,0
2.5,50.48296,0.20812,1.26207,0,0,0.05116,0
2.6,52.54317,0.21641,1.31358,0,0,0.05324,0
2.7,54.41374,225,1.36034,0,0,0.05488,0
2.8,56.4951,0.23297,1.41238,0,0,0.05667,0
2.9,58.33041,0.24219,1.45826,0,0,0.05874,0
3,59.8695,0.24984,1.49674,0,0,0.06054,0
3.1,61.8725,0.25875,1.54681,0,0,0.06249,0
3.2,63.9139,0.26656,1.59785,0,0,0.06426,0
3.3,65.80484,0.27516,1.64512,0,0,0.06635,0
3.4,67.59939,0.28328,1.68998,0,0,0.06781,0
3.5,69.47936,0.29172,1.73698,0,0,0.06999,0
3.6,71.45337,0.3,1.78633,0,0,0.07147,0
3.7,73.16642,0.30766,1.82916,0,0,0.0735,0
